Codi d'expedient,Codi districte,Nom districte,Codi barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripci¢ dia setmana,Dia setmana,Descripci¢ tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripci¢ causa vianant,tipus de vehicle,Descripci¢ model,Descripci¢ marca,Descripci¢ color,Descripci¢ carnet,Antiguitat carnet,Coordenada UTM (Y),Coordenada UTM (X)
2014S004437,7,Horta-Guinard¢,33,el Baix Guinard¢,344101,Gr…cia,0388 0390,Dilluns,Dl,Laboral,2014,6,Juny,16,19,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Gris,Desconegut,Desconegut,"4584931,15",431011
2014S000827,2,Eixample,9,la Nova Esquerra de l'Eixample,289105,Rossell¢,0015 0015,Dilluns,Dl,Laboral,2014,2,Febrer,3,19,No ‚s causa del  vianant,Bicicleta,Desconegut,DECATHLON,Gris,Desconegut,Desconegut,"4581820,69","428465,51"
2014S001231,2,Eixample,7,la Dreta de l'Eixample,144601,Diagonal,0361 0361,Dimecres,Dc,Laboral,2014,2,Febrer,19,11,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Rosa,Desconegut,Desconegut,"4583408,06","430180,04"
2014S008972,5,Sarri…-Sant Gervasi,26,Sant Gervasi - Galvany,144601,Diagonal,0490 0500,Divendres,Dv,Laboral,2014,12,Desembre,5,19,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4583219,95","429433,98"
2014S000147,2,Eixample,7,la Dreta de l'Eixample,349309,Universitat,0004 0004,Dimecres,Dc,Laboral,2014,1,Gener,8,19,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Blanc,Desconegut,Desconegut,"4582170,6","430350,14"
2014S003356,2,Eixample,7,la Dreta de l'Eixample,278459,Reina Vict•ria,9998 9998,Dimecres,Dc,Laboral,2014,5,Maig,7,19,No ‚s causa del  vianant,Bicicleta,Desconegut,BICING,Blanc,Desconegut,Desconegut,"4582492,24","430534,35"
2014S002682,2,Eixample,7,la Dreta de l'Eixample,335100,Tetuan,0026 0026,Dijous,Dj,Laboral,2014,4,Abril,10,12,No ‚s causa del  vianant,Bicicleta,Desconegut,BICING,Desconegut,Desconegut,Desconegut,"4583204,02","431141,7"
2014S004504,1,Ciutat Vella,1,el Raval,308505,Sant Pau,0082 0082,Dimecres,Dc,Laboral,2014,6,Juny,18,16,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Blau,Desconegut,Desconegut,"4581172,28","430693,38"
2014S005426,7,Horta-Guinard¢,41,la Vall d'Hebron,352507,Vall d'Hebron,0198 0198,Dimarts,Dm,Laboral,2014,7,Juliol,22,12,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4587134,61","428702,21"
2014S000771,2,Eixample,8,l'Antiga Esquerra de l'Eixample,144601,Diagonal,0471 0473,Dissabte,Ds,Laboral,2014,2,Febrer,1,18,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Gris,Desconegut,Desconegut,"4582930,12","428710,57"
2014S005962,10,Sant Mart¡,71,Proven‡als del Poblenou,115603,Espronceda,0177 0181,Dijous,Dj,Laboral,2014,8,Agost,14,21,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4584652,67","433218,11"
2014S001870,2,Eixample,7,la Dreta de l'Eixample,349309,Universitat,0008 0008,Dijous,Dj,Laboral,2014,3,Mar‡,13,18,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4582187,19","430384,13"
2014S002425,2,Eixample,8,l'Antiga Esquerra de l'Eixample,70607,Casanova,0146 0146,Dimecres,Dc,Laboral,2014,4,Abril,2,10,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Blanc,Desconegut,Desconegut,"4582487,09","429383,09"
2014S001171,2,Eixample,8,l'Antiga Esquerra de l'Eixample,268003,Proven‡a,0230 0230,Dissabte,Ds,Laboral,2014,2,Febrer,15,22,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"4582745,58",429629
2014S001117,4,Les Corts,21,Pedralbes,115400,Esplugues,0056B0056B,Dijous,Dj,Laboral,2014,2,Febrer,13,17,No ‚s causa del  vianant,Bicicleta,Desconegut,BH,Blanc,Desconegut,Desconegut,"4582524,88","425526,04"
2014S002858,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",342900,Trafalgar,0082 0082,Dimecres,Dc,Laboral,2014,4,Abril,16,16,No ‚s causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"4582682,72","431523,36"
2014S002850,3,Sants-Montju‹c,16,la Bordeta,169409,Corts Catalanes,0181 0247,Dimecres,Dc,Laboral,2014,4,Abril,16,12,No ‚s causa del  vianant,Bicicleta,Desconegut,BICING,Blanc,Desconegut,Desconegut,"4580298,21","428244,45"
2014S000352,2,Eixample,7,la Dreta de l'Eixample,169409,Corts Catalanes,9997 9997,Dijous,Dj,Laboral,2014,1,Gener,16,13,No ‚s causa del  vianant,Bicicleta,Desconegut,Desconegut,Verd,Desconegut,Desconegut,"4582760,74","430794,78"
