Codi d'expedient,Codi districte,Nom districte,Codi barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripciﾌ_ dia setmana,Dia setmana,Descripciﾌ_ tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripciﾌ_ causa vianant,tipus de vehicle,Descripciﾌ_ model,Descripciﾌ_ marca,Descripciﾌ_ color,Descripciﾌ_ carnet,Antiguitat carnet,Coordenada UTM (X),Coordenada UTM (Y), Longitud, Latitut
2016S003918    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,89004,Consell de Cent,0246 0246,Divendres,Dv,Laboral,2016,5,Maig,20,20,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"429891,77","4582254,52",2.160332,41.386916
2016S003918    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,89004,Consell de Cent,0246 0246,Divendres,Dv,Laboral,2016,5,Maig,20,20,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BTWIN,Vermell,Desconegut,Desconegut,"429891,77","4582254,52",2.160332,41.386916
2016S002380    ,3,Sants-Montjuﾌ,11,el Poble Sec,198804,Paral裔lel,0117 0119,Dimarts,Dm,Laboral,2016,3,Marﾌ､,29,10,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BTWIN,Negre,Desconegut,Desconegut,"429910,63","4580909,28",2.160715,41.374804
2016S009284    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,223606,Muntaner,0036 0036,Dijous,Dj,Laboral,2016,12,Desembre,1,15,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"429911,77","4582137,91",2.160585,41.385864
2016S004257    ,2,Eixample,7,la Dreta de l'Eixample,148307,Grﾌﾊcia,0095 0095,Dijous,Dj,Laboral,2016,6,Juny,2,10,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Blau,Desconegut,Desconegut,"429929,47","4583168,33",2.160681,41.395151
2016S007726    ,2,Eixample,7,la Dreta de l'Eixample,289105,Rossellﾌ_,0263 0263,Dimarts,Dm,Laboral,2016,10,Octubre,11,9,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"429933,59","4583268,17",2.160717,41.396052
2016S005477    ,2,Eixample,7,la Dreta de l'Eixample,350308,Valﾌｬncia,0219 0223,Dimarts,Dm,Laboral,2016,7,Juliol,12,17,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"429943,13","4582708,74",2.160902,41.391009
2016S003326    ,2,Eixample,10,Sant Antoni,246000,Parlament,0001 0003,Dilluns,Dl,Laboral,2016,5,Maig,2,10,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,ORBEA,Blanc,Desconegut,Desconegut,"429944,26","4580987,25",2.161113,41.375509
2016S002407    ,2,Eixample,10,Sant Antoni,246000,Parlament,0001 0003,Dimecres,Dc,Laboral,2016,3,Marﾌ､,30,11,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BH,Blau,Desconegut,Desconegut,"429944,26","4580987,25",2.161113,41.375509
2016S005872    ,2,Eixample,10,Sant Antoni,349706,Comte d'Urgell,0021 0021,Dimarts,Dm,Laboral,2016,7,Juliol,26,17,Desobeir el senyal del semﾌﾊfor,Bicicleta,Desconegut,BH,Platejat,Desconegut,Desconegut,"429946,71","4581490,72",2.161079,41.38004
