Codi d'expedient,Codi districte,Nom districte,Codi barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripció dia setmana,Dia setmana,Descripció tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripció causa vianant,tipus de vehicle,Descripció model,Descripció marca,Descripció color,Descripció carnet,Antiguitat carnet,Coordenada UTM (Y),Coordenada UTM (X)
2015S007764,2,Eixample,9,la Nova Esquerra de l'Eixample,349706,Comte d'Urgell,0097 0097,Dijous,Dj,Laboral,2015,10,Octubre,15,21,No és causa del  vianant,Bicicleta,Desconegut,ORBEA,Desconegut,Desconegut,Desconegut,"4581947,87","429497,78"
2015S007764,2,Eixample,9,la Nova Esquerra de l'Eixample,349706,Comte d'Urgell,0097 0097,Dijous,Dj,Laboral,2015,10,Octubre,15,21,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4581947,87","429497,78"
2015S004709,2,Eixample,9,la Nova Esquerra de l'Eixample,89004,Consell de Cent,0142I0142I,Dijous,Dj,Laboral,2015,6,Juny,18,15,Creuar per fora pas de vianants,Bicicleta,Desconegut,Desconegut,Blau,Desconegut,Desconegut,"4581686,06","429352,55"
2015S009380,2,Eixample,9,la Nova Esquerra de l'Eixample,169409,Corts Catalanes,0395 0397,Dijous,Dj,Laboral,2015,12,Desembre,10,15,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Blanc,Desconegut,Desconegut,"4581136,92","429101,64"
2015S008792,2,Eixample,7,la Dreta de l'Eixample,144601,Diagonal,0418 0418,Divendres,Dv,Laboral,2015,11,Novembre,20,16,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Gris,Desconegut,Desconegut,"4583471,60","430213,09"
2015S003268,2,Eixample,7,la Dreta de l'Eixample,89004,Consell de Cent,0324 0324,Dimecres,Dc,Laboral,2015,4,Abril,29,19,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"4582829,51","430478,42"
2015S001224,2,Eixample,7,la Dreta de l'Eixample,176801,Roger de Llúria,0050 0050,Dimarts,Dm,Laboral,2015,2,Febrer,17,20,Desobeir el senyal del semàfor,Bicicleta,Desconegut,BTWIN,Vermell,Desconegut,Desconegut,"4582902,55","430658,50"
2015S009136,2,Eixample,7,la Dreta de l'Eixample,89004,Consell de Cent,0417 0419,Dimarts,Dm,Laboral,2015,12,Desembre,1,20,No és causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"4583265,93","430893,33"
2015S001814,2,Eixample,7,la Dreta de l'Eixample,169409,Corts Catalanes,0654 0654,Dilluns,Dl,Laboral,2015,3,Març,9,18,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Vermell,Desconegut,Desconegut,"4582676,86","430748,64"
2015S005006,2,Eixample,7,la Dreta de l'Eixample,305100,Sant Joan,0051B0051B,Dilluns,Dl,Laboral,2015,6,Juny,29,13,No és causa del  vianant,Bicicleta,Desconegut,BICING,Desconegut,Desconegut,Desconegut,"4583318,02","430937,87"
2015S004840,2,Eixample,6,la Sagrada Família,268003,Provença,0536 0536,Dilluns,Dl,Laboral,2015,6,Juny,22,22,No és causa del  vianant,Bicicleta,Desconegut,ORBEA,Negre,Desconegut,Desconegut,"4584567,12","431494,15"
2015S001007,2,Eixample,7,la Dreta de l'Eixample,90502,Còrsega,0313 0313,Dilluns,Dl,Laboral,2015,2,Febrer,9,15,No és causa del  vianant,Bicicleta,ROCKRIDER,DECATHLON,Groc,Desconegut,Desconegut,"4583219,40","429698,19"
2015S000853,2,Eixample,6,la Sagrada Família,18505,Aragó,0481 0481,Dimarts,Dm,Laboral,2015,2,Febrer,3,8,No és causa del  vianant,Bicicleta,ROCKRIDER,DECATHLON,Groc,Desconegut,Desconegut,"4584118,37","431573,47"
2015S004910,2,Eixample,7,la Dreta de l'Eixample,148307,Gràcia,0101 0101,Dijous,Dj,Laboral,2015,6,Juny,25,16,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4583227,16","429875,73"
2015S005412,2,Eixample,7,la Dreta de l'Eixample,268003,Provença,0278 0280,Dilluns,Dl,Laboral,2015,7,Juliol,13,20,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4583030,33","429919,79"
2015S003058,2,Eixample,7,la Dreta de l'Eixample,148307,Gràcia,0072S0072S,Dijous,Dj,Laboral,2015,4,Abril,23,0,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Blanc,Desconegut,Desconegut,"4583043,62","430193,26"
2015S006362,2,Eixample,6,la Sagrada Família,178308,Lepant,0297 0297,Dissabte,Ds,Laboral,2015,8,Agost,22,23,No és causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"4584329,38","431121,35"
2015S009361,2,Eixample,6,la Sagrada Família,268003,Provença,0485 0485,Dijous,Dj,Laboral,2015,12,Desembre,10,9,No és causa del  vianant,Bicicleta,Desconegut,BTWIN,Blanc,Desconegut,Desconegut,"4584412,46","431300,96"
2015S006476,2,Eixample,5,el Fort Pienc,89004,Consell de Cent,0487 0487,Divendres,Dv,Laboral,2015,8,Agost,28,8,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Gris,Desconegut,Desconegut,"4583666,92","431303,73"
2015S000751,2,Eixample,5,el Fort Pienc,169409,Corts Catalanes,0712 0714,Divendres,Dv,Laboral,2015,1,Gener,30,21,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4583230,19","431314,13"
2015S005953,2,Eixample,5,el Fort Pienc,169409,Corts Catalanes,0730 0730,Dilluns,Dl,Laboral,2015,8,Agost,3,14,No és causa del  vianant,Bicicleta,Desconegut,CONOR,Negre,Desconegut,Desconegut,"4583327,88","431413,88"
2015S007943,3,Sants-Montjuïc,11,el Poble Sec,198804,Paral·lel,0171 0171,Dijous,Dj,Laboral,2015,10,Octubre,22,15,No és causa del  vianant,Bicicleta,Desconegut,BTWIN,Negre,Desconegut,Desconegut,"4580914,26","429521,79"
2015S006504,3,Sants-Montjuïc,11,el Poble Sec,198804,Paral·lel,0097 0097,Dissabte,Ds,Laboral,2015,8,Agost,29,14,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Vermell,Desconegut,Desconegut,"4580905,72","430165,05"
2015S008195,3,Sants-Montjuïc,11,el Poble Sec,198702,Francesc Ferrer i Guàrdia,0009 0011,Dissabte,Ds,Laboral,2015,10,Octubre,31,13,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Altres,Desconegut,Desconegut,"4580345,20","428951,34"
2015S005351,3,Sants-Montjuïc,15,Hostafrancs,94809,Creu Coberta,0123I0123I,Divendres,Dv,Laboral,2015,7,Juliol,10,18,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4580939,77","428337,36"
2015S007532,3,Sants-Montjuïc,15,Hostafrancs,94809,Creu Coberta,0108 0108,Dimecres,Dc,Laboral,2015,10,Octubre,7,16,No és causa del  vianant,Bicicleta,Desconegut,MONTY,Verd,Desconegut,Desconegut,"4580988,13","428353,21"
2015S008869,3,Sants-Montjuïc,17,Sants - Badal,312400,Sants,0280 0280,Dimarts,Dm,Laboral,2015,11,Novembre,24,13,No és causa del  vianant,Bicicleta,Desconegut,BTWIN,Gris,Desconegut,Desconegut,"4581035,26","427087,50"
